Foam_quality,Temperature,Foam_CO2,Foam_AOS,Foam_NaCl,Foam_SiO2,Foam_XG,Pa,shear_rate,viscosity_cp
95,25,Yes,Yes,No,No,No,1.94,311,6.2
95,25,Yes,Yes,No,No,No,2.74,467,5.5
95,25,Yes,Yes,No,No,No,2.93,622,5.1
95,25,Yes,Yes,No,No,No,3.50,778,4.8
95,25,Yes,Yes,No,No,No,4.37,933,4.6
95,25,Yes,Yes,No,No,No,5.02,1089,4.4
95,25,Yes,Yes,No,No,No,5.24,1244,4.2
95,25,Yes,Yes,Yes,No,No,1.01,336.09,3.05
95,25,Yes,Yes,Yes,No,No,1.28,504.14,2.57
95,25,Yes,Yes,Yes,No,No,1.52,672.19,2.27
95,25,Yes,Yes,Yes,No,No,1.82,840.24,2.07
95,25,Yes,Yes,Yes,No,No,2.04,1008.28,1.92
95,25,Yes,Yes,Yes,No,No,2.07,1176.33,1.80
95,25,Yes,Yes,Yes,No,No,2.17,1344.38,1.70
95,25,Yes,Yes,Yes,Yes,No,1.58,357.60,4.30
95,25,Yes,Yes,Yes,Yes,No,1.86,536.40,3.50
95,25,Yes,Yes,Yes,Yes,No,2.11,715.21,3.02
95,25,Yes,Yes,Yes,Yes,No,2.37,894.01,2.70
95,25,Yes,Yes,Yes,Yes,No,2.63,1072.81,2.46
95,25,Yes,Yes,Yes,Yes,No,2.91,1251.61,2.28
95,25,Yes,Yes,Yes,Yes,No,3.09,1430.41,2.13
95,25,Yes,Yes,Yes,Yes,Yes,2.28,336.72,6.44
95,25,Yes,Yes,Yes,Yes,Yes,2.50,505.07,5.42
95,25,Yes,Yes,Yes,Yes,Yes,3.25,673.43,4.80
95,25,Yes,Yes,Yes,Yes,Yes,3.82,841.79,4.36
95,25,Yes,Yes,Yes,Yes,Yes,4.04,1010.15,4.04
95,25,Yes,Yes,Yes,Yes,Yes,4.46,1178.50,3.78
95,25,Yes,Yes,Yes,Yes,Yes,4.83,1346.86,3.57
95,50,Yes,Yes,No,No,No,1.04,303.75,3.51
95,50,Yes,Yes,No,No,No,1.49,455.62,3.22
95,50,Yes,Yes,No,No,No,1.93,607.50,3.02
95,50,Yes,Yes,No,No,No,2.23,759.37,2.88
95,50,Yes,Yes,No,No,No,2.36,911.24,2.77
95,50,Yes,Yes,No,No,No,2.88,1063.12,2.68
95,50,Yes,Yes,No,No,No,3.17,1214.99,2.60
95,50,Yes,Yes,Yes,No,No,0.79,347.90,2.81
95,50,Yes,Yes,Yes,No,No,1.16,521.85,2.32
95,50,Yes,Yes,Yes,No,No,1.42,695.80,2.02
95,50,Yes,Yes,Yes,No,No,1.70,869.75,1.82
95,50,Yes,Yes,Yes,No,No,1.76,1043.70,1.67
95,50,Yes,Yes,Yes,No,No,1.89,1217.65,1.55
95,50,Yes,Yes,Yes,No,No,1.93,1391.60,1.46
95,50,Yes,Yes,Yes,Yes,No,1.40,355.55,4.15
95,50,Yes,Yes,Yes,Yes,No,1.66,533.32,3.39
95,50,Yes,Yes,Yes,Yes,No,1.86,711.09,2.93
95,50,Yes,Yes,Yes,Yes,No,2.37,888.87,2.62
95,50,Yes,Yes,Yes,Yes,No,2.55,1066.64,2.39
95,50,Yes,Yes,Yes,Yes,No,2.77,1244.41,2.22
95,50,Yes,Yes,Yes,Yes,No,2.96,1422.19,2.07
95,50,Yes,Yes,Yes,Yes,Yes,1.70,338.15,4.75
95,50,Yes,Yes,Yes,Yes,Yes,2.05,507.23,3.99
95,50,Yes,Yes,Yes,Yes,Yes,2.20,676.30,3.52
95,50,Yes,Yes,Yes,Yes,Yes,2.56,845.38,3.20
95,50,Yes,Yes,Yes,Yes,Yes,2.93,1014.45,2.96
95,50,Yes,Yes,Yes,Yes,Yes,3.33,1183.53,2.77
95,50,Yes,Yes,Yes,Yes,Yes,3.81,1352.60,2.61
95,80,Yes,Yes,No,No,No,1.01,319.81,3.03
95,80,Yes,Yes,No,No,No,1.29,479.71,2.65
95,80,Yes,Yes,No,No,No,1.47,639.61,2.40
95,80,Yes,Yes,No,No,No,1.64,799.52,2.23
95,80,Yes,Yes,No,No,No,1.98,959.42,2.10
95,80,Yes,Yes,No,No,No,2.28,1119.32,1.99
95,80,Yes,Yes,No,No,No,2.62,1279.23,1.91
95,80,Yes,Yes,Yes,No,No,0.39,303.83,1.91
95,80,Yes,Yes,Yes,No,No,0.35,455.74,1.75
95,80,Yes,Yes,Yes,No,No,1.02,607.66,1.64
95,80,Yes,Yes,Yes,No,No,1.18,759.57,1.56
95,80,Yes,Yes,Yes,No,No,1.33,911.49,1.50
95,80,Yes,Yes,Yes,No,No,1.55,1063.40,1.45
95,80,Yes,Yes,Yes,No,No,1.75,1215.31,1.41
95,80,Yes,Yes,Yes,Yes,No,1.48,384.59,3.70
95,80,Yes,Yes,Yes,Yes,No,1.72,576.89,2.92
95,80,Yes,Yes,Yes,Yes,No,1.79,769.19,2.46
95,80,Yes,Yes,Yes,Yes,No,1.93,961.49,2.16
95,80,Yes,Yes,Yes,Yes,No,2.19,1153.78,1.94
95,80,Yes,Yes,Yes,Yes,No,2.43,1346.08,1.78
95,80,Yes,Yes,Yes,Yes,No,2.72,1538.38,1.64
95,80,Yes,Yes,Yes,Yes,Yes,1.40,323.76,4.15
95,80,Yes,Yes,Yes,Yes,Yes,1.62,485.64,3.59
95,80,Yes,Yes,Yes,Yes,Yes,2.07,647.52,3.24
95,80,Yes,Yes,Yes,Yes,Yes,2.56,809.40,2.99
95,80,Yes,Yes,Yes,Yes,Yes,2.68,971.28,2.80
95,80,Yes,Yes,Yes,Yes,Yes,3.08,1133.16,2.65
95,80,Yes,Yes,Yes,Yes,Yes,3.21,1295.04,2.53
75,25,Yes,Yes,No,No,No,1.35,321.96,4.49
75,25,Yes,Yes,No,No,No,2.13,482.95,3.90
75,25,Yes,Yes,No,No,No,2.29,643.93,3.53
75,25,Yes,Yes,No,No,No,2.50,804.91,3.26
75,25,Yes,Yes,No,No,No,2.85,965.89,3.06
75,25,Yes,Yes,No,No,No,3.29,1126.88,2.90
75,25,Yes,Yes,No,No,No,3.63,1287.86,2.77
75,25,Yes,Yes,Yes,No,No,1.02,372.44,2.31
75,25,Yes,Yes,Yes,No,No,1.08,558.66,1.84
75,25,Yes,Yes,Yes,No,No,1.15,744.89,1.57
75,25,Yes,Yes,Yes,No,No,1.23,931.11,1.39
75,25,Yes,Yes,Yes,No,No,1.35,1117.33,1.25
75,25,Yes,Yes,Yes,No,No,1.49,1303.55,1.15
75,25,Yes,Yes,Yes,No,No,1.70,1489.77,1.07
75,25,Yes,Yes,Yes,Yes,No,1.16,336.95,3.25
75,25,Yes,Yes,Yes,Yes,No,1.37,505.43,2.73
75,25,Yes,Yes,Yes,Yes,No,1.58,673.90,2.42
75,25,Yes,Yes,Yes,Yes,No,1.66,842.38,2.20
75,25,Yes,Yes,Yes,Yes,No,2.05,1010.86,2.03
75,25,Yes,Yes,Yes,Yes,No,2.38,1179.33,1.91
75,25,Yes,Yes,Yes,Yes,No,2.53,1347.81,1.80
75,25,Yes,Yes,Yes,Yes,Yes,1.45,310.48,4.89
75,25,Yes,Yes,Yes,Yes,Yes,2.27,465.72,4.38
75,25,Yes,Yes,Yes,Yes,Yes,2.52,620.96,4.05
75,25,Yes,Yes,Yes,Yes,Yes,2.70,776.20,3.82
75,25,Yes,Yes,Yes,Yes,Yes,3.40,931.44,3.63
75,25,Yes,Yes,Yes,Yes,Yes,3.74,1086.68,3.48
75,25,Yes,Yes,Yes,Yes,Yes,4.33,1241.92,3.36
75,50,Yes,Yes,No,No,No,1.29,356.38,3.33
75,50,Yes,Yes,No,No,No,1.49,534.57,2.71
75,50,Yes,Yes,No,No,No,1.64,712.76,2.34
75,50,Yes,Yes,No,No,No,1.89,890.95,2.10
75,50,Yes,Yes,No,No,No,2.18,1069.14,1.91
75,50,Yes,Yes,No,No,No,2.31,1247.33,1.77
75,50,Yes,Yes,No,No,No,2.54,1425.52,1.65
75,50,Yes,Yes,Yes,No,No,0.85,364.50,2.04
75,50,Yes,Yes,Yes,No,No,0.86,546.75,1.64
75,50,Yes,Yes,Yes,No,No,1.04,729.00,1.41
75,50,Yes,Yes,Yes,No,No,1.15,911.25,1.25
75,50,Yes,Yes,Yes,No,No,1.23,1093.50,1.14
75,50,Yes,Yes,Yes,No,No,1.30,1275.75,1.05
75,50,Yes,Yes,Yes,No,No,1.46,1458.00,0.98
75,50,Yes,Yes,Yes,Yes,No,0.99,332.70,2.74
75,50,Yes,Yes,Yes,Yes,No,1.14,499.05,2.32
75,50,Yes,Yes,Yes,Yes,No,1.27,665.40,2.07
75,50,Yes,Yes,Yes,Yes,No,1.46,831.75,1.89
75,50,Yes,Yes,Yes,Yes,No,1.68,998.10,1.75
75,50,Yes,Yes,Yes,Yes,No,1.93,1164.45,1.65
75,50,Yes,Yes,Yes,Yes,No,2.34,1330.80,1.56
75,50,Yes,Yes,Yes,Yes,Yes,1.25,315.83,3.76
75,50,Yes,Yes,Yes,Yes,Yes,1.49,473.74,3.31
75,50,Yes,Yes,Yes,Yes,Yes,1.96,631.66,3.03
75,50,Yes,Yes,Yes,Yes,Yes,2.16,789.57,2.83
75,50,Yes,Yes,Yes,Yes,Yes,2.28,947.48,2.68
75,50,Yes,Yes,Yes,Yes,Yes,2.94,1105.40,2.55
75,50,Yes,Yes,Yes,Yes,Yes,3.33,1263.31,2.45
75,80,Yes,Yes,No,No,No,1.02,338.17,2.92
75,80,Yes,Yes,No,No,No,1.23,507.26,2.45
75,80,Yes,Yes,No,No,No,1.43,676.35,2.17
75,80,Yes,Yes,No,No,No,1.60,845.43,1.97
75,80,Yes,Yes,No,No,No,1.90,1014.52,1.82
75,80,Yes,Yes,No,No,No,2.04,1183.60,1.70
75,80,Yes,Yes,No,No,No,2.20,1352.69,1.61
75,80,Yes,Yes,Yes,No,No,0.75,358.40,1.83
75,80,Yes,Yes,Yes,No,No,0.80,537.60,1.49
75,80,Yes,Yes,Yes,No,No,0.92,716.80,1.29
75,80,Yes,Yes,Yes,No,No,1.03,896.00,1.15
75,80,Yes,Yes,Yes,No,No,1.12,1075.20,1.05
75,80,Yes,Yes,Yes,No,No,1.22,1254.40,0.97
75,80,Yes,Yes,Yes,No,No,1.29,1433.60,0.90
75,80,Yes,Yes,Yes,Yes,No,0.83,324.26,2.42
75,80,Yes,Yes,Yes,Yes,No,1.05,486.39,2.09
75,80,Yes,Yes,Yes,Yes,No,1.21,648.53,1.88
75,80,Yes,Yes,Yes,Yes,No,1.38,810.66,1.74
75,80,Yes,Yes,Yes,Yes,No,1.62,972.79,1.63
75,80,Yes,Yes,Yes,Yes,No,1.83,1134.92,1.54
75,80,Yes,Yes,Yes,Yes,No,2.09,1297.05,1.47
75,80,Yes,Yes,Yes,Yes,Yes,1.16,320.84,3.36
75,80,Yes,Yes,Yes,Yes,Yes,1.38,481.26,2.93
75,80,Yes,Yes,Yes,Yes,Yes,1.63,641.68,2.65
75,80,Yes,Yes,Yes,Yes,Yes,1.86,802.11,2.46
75,80,Yes,Yes,Yes,Yes,Yes,1.97,962.53,2.31
75,80,Yes,Yes,Yes,Yes,Yes,2.59,1122.95,2.19
75,80,Yes,Yes,Yes,Yes,Yes,3.03,1283.37,2.10
